t_s,V_pu,delta_V_pu,V_initial_pu
2.52,1.0236100588282995,-0.006389941176506264,1.0300000000048057
2.53,1.023616730882544,-0.0063832691222618365,1.0300000000048057
2.54,1.023624168896014,-0.006375831108791807,1.0300000000048057
2.55,1.0236323387329518,-0.006367661271853953,1.0300000000048057
2.56,1.0236412052297548,-0.006358794775050969,1.0300000000048057
2.57,1.0236507323091737,-0.006349267695632044,1.0300000000048057
2.58,1.0236608830934064,-0.006339116911399323,1.0300000000048057
2.59,1.023671620015789,-0.006328379989016808,1.0300000000048057
2.6,1.0236829049308274,-0.006317095073978374,1.0300000000048057
2.61,1.0236946992223281,-0.006305300782477596,1.0300000000048057
2.62,1.023706963909449,-0.006293036095356808,1.0300000000048057
2.63,1.023719659750364,-0.006280340254441796,1.0300000000048057
2.64,1.0237327473435547,-0.006267252661251055,1.0300000000048057
2.65,1.0237461872263363,-0.006253812778469481,1.0300000000048057
2.66,1.023759939970718,-0.006240060034087724,1.0300000000048057
2.67,1.0237739662762486,-0.006226033728557123,1.0300000000048057
2.68,1.0237882270599723,-0.006211772944833438,1.0300000000048057
2.69,1.023802683543151,-0.006197316461654667,1.0300000000048057
2.7,1.023817297334966,-0.006182702669839779,1.0300000000048057
2.71,1.0238320305128794,-0.006167969491926328,1.0300000000048057
2.72,1.0238468456997316,-0.006153154305074127,1.0300000000048057
2.73,1.0238617061376127,-0.006138293867193001,1.0300000000048057
2.74,1.023876575758261,-0.006123424246544662,1.0300000000048057
2.75,1.0238914192502464,-0.006108580754559334,1.0300000000048057
2.76,1.0239062021226844,-0.006093797882121388,1.0300000000048057
2.77,1.023920890765625,-0.006079109239180758,1.0300000000048057
2.78,1.023935452507149,-0.006064547497656836,1.0300000000048057
2.79,1.0239498556670124,-0.006050144337793384,1.0300000000048057
2.8,1.023964069607031,-0.006035930397774836,1.0300000000048057
2.81,1.0239780647781502,-0.006021935226655506,1.0300000000048057
2.82,1.0239918127642273,-0.006008187240578389,1.0300000000048057
2.83,1.0240052863225346,-0.005994713682271113,1.0300000000048057
2.84,1.024018459421061,-0.005981540583744671,1.0300000000048057
2.85,1.0240313072725717,-0.005968692732233993,1.0300000000048057
