t_s,delta_pm_pu,Pm0_pu_sysbase
3.4,0.05159443707513739,1.1175729314688707
3.41,0.05160621931827824,1.1175729314688707
3.42,0.051618376136954205,1.1175729314688707
3.43,0.05163087491353471,1.1175729314688707
3.44,0.05164368286612093,1.1175729314688707
3.45,0.05165676713362039,1.1175729314688707
3.46,0.05167009485904399,1.1175729314688707
3.47,0.05168363327086912,1.1175729314688707
3.48,0.051697349762312376,1.1175729314688707
3.49,0.05171121196836576,1.1175729314688707
3.5,0.05172518784048463,1.1175729314688707
3.51,0.051739245718768735,1.1175729314688707
3.52,0.051753354401579334,1.1175729314688707
3.53,0.051767483212439756,1.1175729314688707
3.54,0.051781602064163434,1.1175729314688707
3.55,0.05179568152013655,1.1175729314688707
3.56,0.051809692852634946,1.1175729314688707
3.57,0.0518236080981969,1.1175729314688707
3.58,0.051837400109897694,1.1175729314688707
3.59,0.051851042606606265,1.1175729314688707
3.6,0.051864510219035806,1.1175729314688707
3.61,0.05187777853274993,1.1175729314688707
3.62,0.05189082412789252,1.1175729314688707
3.63,0.05190362461582775,1.1175729314688707
3.64,0.0519161586725451,1.1175729314688707
3.65,0.05192840606887901,1.1175729314688707
3.66,0.05194034769760371,1.1175729314688707
3.67,0.05195196559728705,1.1175729314688707
3.68,0.051963242973064955,1.1175729314688707
3.69,0.051974164214263034,1.1175729314688707
3.7,0.051984714908943006,1.1175729314688707
3.71,0.051994881855387226,1.1175729314688707
3.72,0.05200465307057462,1.1175729314688707
3.73,0.05201401779567188,1.1175729314688707
3.74,0.05202296649863361,1.1175729314688707
3.75,0.05203149087388005,1.1175729314688707
3.76,0.052039583839240365,1.1175729314688707
3.77,0.05204723953004248,1.1175729314688707
3.78,0.05205445329063188,1.1175729314688707
3.79,0.05206122166314996,1.1175729314688707
3.8,0.05206754237388053,1.1175729314688707
3.81,0.05207341431701363,1.1175729314688707
3.82,0.05207883753612009,1.1175729314688707
3.83,0.05208381320320348,1.1175729314688707
3.84,0.05208834359563106,1.1175729314688707
3.85,0.05209243207081085,1.1175729314688707
3.86,0.05209608303892341,1.1175729314688707
3.87,0.05209930193358592,1.1175729314688707
3.88,0.05210209518074378,1.1175729314688707
3.89,0.0521044701657126,1.1175729314688707
3.9,0.05210643519859827,1.1175729314688707
3.91,0.05210799947814076,1.1175729314688707
3.92,0.05210917305405217,1.1175729314688707
3.93,0.052109966788051514,1.1175729314688707
3.94,0.05211039231357998,1.1175729314688707
3.95,0.052110461994430854,1.1175729314688707
3.96,0.05211018888227539,1.1175729314688707
3.97,0.052109586673323376,1.1175729314688707
3.98,0.052108669664101014,1.1175729314688707
3.99,0.052107452706587086,1.1175729314688707
4.0,0.05210595116269388,1.1175729314688707
4.01,0.052104180858315335,1.1175729314688707
4.02,0.05210215803696457,1.1175729314688707
4.03,0.052099899313188966,1.1175729314688707
4.04,0.052097421625807244,1.1175729314688707
4.05,0.05209474219113803,1.1175729314688707
4.06,0.052091878456281056,1.1175729314688707
4.07,0.05208884805259525,1.1175729314688707
4.08,0.0520856687494627,1.1175729314688707
4.09,0.05208235840844647,1.1175729314688707
4.1,0.05207893493795116,1.1175729314688707
4.11,0.05207541624848229,1.1175729314688707
4.12,0.05207182020860658,1.1175729314688707
4.13,0.05206816460170473,1.1175729314688707
4.14,0.05206446708362394,1.1175729314688707
4.15,0.05206074514128975,1.1175729314688707
4.16,0.052057016052412176,1.1175729314688707
4.17,0.052053296846314295,1.1175729314688707
4.18,0.052049604266008034,1.1175729314688707
4.19,0.052045954731563496,1.1175729314688707
4.2,0.05204236430486607,1.1175729314688707
4.21,0.05203884865579482,1.1175729314688707
4.22,0.05203542302994384,1.1175729314688707
4.23,0.05203210221785422,1.1175729314688707
4.24,0.05202890052592475,1.1175729314688707
4.25,0.05202583174892362,1.1175729314688707
4.26,0.05202290914426874,1.1175729314688707
4.27,0.05202014540800007,1.1175729314688707
4.28,0.05201755265258695,1.1175729314688707
4.29,0.05201514238648932,1.1175729314688707
4.3,0.05201292549560475,1.1175729314688707
4.31,0.05201091222651893,1.1175729314688707
4.32,0.052009112171653826,1.1175729314688707
4.33,0.0520075342562761,1.1175729314688707
4.34,0.05200618672735858,1.1175729314688707
4.35,0.05200507714436736,1.1175729314688707
4.36,0.05200421237184405,1.1175729314688707
4.37,0.05200359857390243,1.1175729314688707
4.38,0.05200324121053385,1.1175729314688707
4.39,0.052003145035729725,1.1175729314688707
4.4,0.05200331409739686,1.1175729314688707
4.41,0.052003751739047116,1.1175729314688707
4.42,0.05200446060317534,1.1175729314688707
4.43,0.0520054426363858,1.1175729314688707
4.44,0.052006699096095864,1.1175729314688707
4.45,0.052008230558910275,1.1175729314688707
4.46,0.05201003693048743,1.1175729314688707
4.47,0.05201211745694403,1.1175729314688707
4.48,0.052014470737697556,1.1175729314688707
4.49,0.052017094739673114,1.1175729314688707
4.5,0.05201998681287849,1.1175729314688707
4.51,0.0520231437071924,1.1175729314688707
4.52,0.05202656159039936,1.1175729314688707
4.53,0.05203023606730925,1.1175729314688707
4.54,0.05203416219998684,1.1175729314688707
4.55,0.052038334528918276,1.1175729314688707
4.56,0.0520427470951572,1.1175729314688707
4.57,0.052047393463258415,1.1175729314688707
4.58,0.0520522667450379,1.1175729314688707
4.59,0.05205735962398868,1.1175729314688707
4.6,0.05206266438036189,1.1175729314688707
4.61,0.052068172916762294,1.1175729314688707
4.62,0.052073876784241746,1.1175729314688707
4.63,0.05207976720879226,1.1175729314688707
4.64,0.05208583511815587,1.1175729314688707
4.65,0.052092071168904436,1.1175729314688707
4.66,0.052098465773684606,1.1175729314688707
4.67,0.05210500912859046,1.1175729314688707
4.68,0.05211169124056181,1.1175729314688707
4.69,0.052118501954764,1.1175729314688707
4.7,0.052125430981861544,1.1175729314688707
4.71,0.05213246792514235,1.1175729314688707
4.72,0.05213960230740164,1.1175729314688707
4.73,0.05214682359754537,1.1175729314688707
4.74,0.052154121236841634,1.1175729314688707
4.75,0.052161484664766014,1.1175729314688707
4.76,0.052168903344379396,1.1175729314688707
4.77,0.052176366787192806,1.1175729314688707
4.78,0.05218386457745932,1.1175729314688707
4.79,0.05219138639585058,1.1175729314688707
4.8,0.052198922042467476,1.1175729314688707
