t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
1.04,1.2624261512189456,-0.04195393659192306,1.2624261512189456,-0.04195393659192306,1.3736634696623227,-0.16230364964080438,0.0,0.0,SG-slack
1.05,1.26582546685465,-0.04197198165298635,1.26582546685465,-0.04197198165298635,1.377062785298027,-0.16232169470186766,0.0,0.0,SG-slack
1.06,1.2689989801836297,-0.04200026017460373,1.2689989801836297,-0.04200026017460373,1.3802362986270067,-0.16234997322348504,0.0,0.0,SG-slack
1.07,1.2719475882090459,-0.042038186671287836,1.2719475882090459,-0.042038186671287836,1.3831849066524229,-0.16238789972016915,0.0,0.0,SG-slack
1.08,1.2746721828795147,-0.04208514249364054,1.2746721828795147,-0.04208514249364054,1.3859095013228917,-0.16243485554252185,0.0,0.0,SG-slack
1.09,1.277173742762885,-0.04214048702624404,1.277173742762885,-0.04214048702624404,1.3884110612062621,-0.16249020007512535,0.0,0.0,SG-slack
1.1,1.2794534204869767,-0.04220356797725558,1.2794534204869767,-0.04220356797725558,1.3906907389303538,-0.1625532810261369,0.0,0.0,SG-slack
1.11,1.28151262509661,-0.04227373059723297,1.28151262509661,-0.04227373059723297,1.392749943539987,-0.16262344364611428,0.0,0.0,SG-slack
1.12,1.2833530986109625,-0.04235032602477007,1.2833530986109625,-0.04235032602477007,1.3945904170543395,-0.16270003907365138,0.0,0.0,SG-slack
1.13,1.28497698608685,-0.042432718588241686,1.28497698608685,-0.042432718588241686,1.396214304530227,-0.162782431637123,0.0,0.0,SG-slack
1.14,1.2863868986815215,-0.04252029232422891,1.2863868986815215,-0.04252029232422891,1.3976242171248985,-0.16287000537311022,0.0,0.0,SG-slack
1.15,1.287585969181413,-0.04261245652522436,1.287585969181413,-0.04261245652522436,1.3988232876247901,-0.16296216957410567,0.0,0.0,SG-slack
1.16,1.2885778996927972,-0.042708650582838265,1.2885778996927972,-0.042708650582838265,1.3998152181361743,-0.16305836363171958,0.0,0.0,SG-slack
1.17,1.289367001148584,-0.04280834799892336,1.289367001148584,-0.04280834799892336,1.400604319591961,-0.16315806104780467,0.0,0.0,SG-slack
1.18,1.2899582244913197,-0.04291105971821041,1.2899582244913197,-0.04291105971821041,1.4011955429346967,-0.16326077276709172,0.0,0.0,SG-slack
1.19,1.2903571834225696,-0.043016336806245614,1.2903571834225696,-0.043016336806245614,1.4015945018659466,-0.16336604985512693,0.0,0.0,SG-slack
1.2,1.2905701686816893,-0.04312377250107155,1.2905701686816893,-0.04312377250107155,1.4018074871250663,-0.16347348554995286,0.0,0.0,SG-slack
1.21,1.290604154008597,-0.04323300373313435,1.290604154008597,-0.04323300373313435,1.401841472451974,-0.16358271678201566,0.0,0.0,SG-slack
1.22,1.2904667938399106,-0.04334371210741397,1.2904667938399106,-0.04334371210741397,1.4017041122832876,-0.16369342515629529,0.0,0.0,SG-slack
1.23,1.2901664130737327,-0.0434556244078699,1.2901664130737327,-0.0434556244078699,1.4014037315171097,-0.16380533745675122,0.0,0.0,SG-slack
1.24,1.28971198913967,-0.04356851266593448,1.28971198913967,-0.04356851266593448,1.400949307583047,-0.1639182257148158,0.0,0.0,SG-slack
1.25,1.289113126774539,-0.04368219378581242,1.289113126774539,-0.04368219378581242,1.400350445217916,-0.16403190683469374,0.0,0.0,SG-slack
1.26,1.2883800259098472,-0.0437965288023644,1.2883800259098472,-0.0437965288023644,1.3996173443532243,-0.1641462418512457,0.0,0.0,SG-slack
1.27,1.2875234431901892,-0.04391142173460866,1.2875234431901892,-0.04391142173460866,1.3987607616335662,-0.16426113478348997,0.0,0.0,SG-slack
1.28,1.2865546475811476,-0.044026818117291755,1.2865546475811476,-0.044026818117291755,1.3977919660245246,-0.16437653116617307,0.0,0.0,SG-slack
1.29,1.2854853707049736,-0.04414270317337432,1.2854853707049736,-0.04414270317337432,1.3967226891483506,-0.16449241622225563,0.0,0.0,SG-slack
1.3,1.284327752456465,-0.044259099665949014,1.284327752456465,-0.044259099665949014,1.395565070899842,-0.16460881271483033,0.0,0.0,SG-slack
1.31,1.2830942825196603,-0.04437606547233061,1.2830942825196603,-0.04437606547233061,1.3943316009630373,-0.16472577852121192,0.0,0.0,SG-slack
1.32,1.2817977384576333,-0.04449369084029381,1.2817977384576333,-0.04449369084029381,1.3930350569010104,-0.16484340388917512,0.0,0.0,SG-slack
1.33,1.2804511209876752,-0.04461209541347022,1.2804511209876752,-0.04461209541347022,1.3916884394310522,-0.16496180846235153,0.0,0.0,SG-slack
1.34,1.2790675871347792,-0.044731424982605184,1.2790675871347792,-0.044731424982605184,1.3903049055781562,-0.1650811380314865,0.0,0.0,SG-slack
1.35,1.2776603818870902,-0.044851848053067245,1.2776603818870902,-0.044851848053067245,1.3888977003304672,-0.16520156110194856,0.0,0.0,SG-slack
1.36,1.2762427690265976,-0.04497355219674648,1.2762427690265976,-0.04497355219674648,1.3874800874699746,-0.1653232652456278,0.0,0.0,SG-slack
1.37,1.2748279617500102,-0.045096740257893925,1.2748279617500102,-0.045096740257893925,1.3860652801933873,-0.16544645330677524,0.0,0.0,SG-slack
1.38,1.2734290537097799,-0.04522162644030381,1.2734290537097799,-0.04522162644030381,1.384666372153157,-0.16557133948918512,0.0,0.0,SG-slack
1.39,1.272058951048711,-0.04534843229626165,1.272058951048711,-0.04534843229626165,1.383296269492088,-0.16569814534514296,0.0,0.0,SG-slack
1.4,1.2707303060171968,-0.04547738268163426,1.2707303060171968,-0.04547738268163426,1.3819676244605739,-0.16582709573051557,0.0,0.0,SG-slack
1.41,1.2694554526641337,-0.045608701694893145,1.2694554526641337,-0.045608701694893145,1.3806927711075108,-0.16595841474377446,0.0,0.0,SG-slack
1.42,1.2682463451453327,-0.0457426086639976,1.2682463451453327,-0.0457426086639976,1.3794836635887098,-0.1660923217128789,0.0,0.0,SG-slack
1.43,1.2671144990405885,-0.04587931420793903,1.2671144990405885,-0.04587931420793903,1.3783518174839655,-0.16622902725682034,0.0,0.0,SG-slack
1.44,1.2660709361648528,-0.046019016429328485,1.2660709361648528,-0.046019016429328485,1.3773082546082298,-0.1663687294782098,0.0,0.0,SG-slack
1.45,1.2651261331550794,-0.04616189727424205,1.2651261331550794,-0.04616189727424205,1.3763634515984564,-0.16651161032312337,0.0,0.0,SG-slack
1.46,1.2642899742501403,-0.046308119101117984,1.2642899742501403,-0.046308119101117984,1.3755272926935174,-0.1666578321499993,0.0,0.0,SG-slack
1.47,1.263571708431526,-0.04645782150528163,1.263571708431526,-0.04645782150528163,1.3748090268749031,-0.16680753455416295,0.0,0.0,SG-slack
1.48,1.2629799112662075,-0.046611118420850084,1.2629799112662075,-0.046611118420850084,1.3742172297095845,-0.1669608314697314,0.0,0.0,SG-slack
1.49,1.2625224515079765,-0.04676809555389,1.2625224515079765,-0.04676809555389,1.3737597699513535,-0.1671178086027713,0.0,0.0,SG-slack
1.5,1.2622064627170027,-0.04692880814694217,1.2622064627170027,-0.04692880814694217,1.3734437811603797,-0.16727852119582348,0.0,0.0,SG-slack
1.51,1.2620383198478613,-0.047093279135628024,1.2620383198478613,-0.047093279135628024,1.3732756382912383,-0.16744299218450934,0.0,0.0,SG-slack
1.52,1.2620236209839653,-0.047261497668831504,1.2620236209839653,-0.047261497668831504,1.3732609394273423,-0.16761121071771282,0.0,0.0,SG-slack
