t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,q_abs_pu,q_initial_pu,asset_type,device_name
1.71,0.00685441837594888,1.006854418376184,1.0000000000002351,0.00609550874179699,1.5812933142670758,1.5751978055252789,GFL,gen-2
1.72,0.006375847529927473,1.0063758475301627,1.0000000000002351,0.006343552347323242,1.581541357872602,1.5751978055252789,GFL,gen-2
1.73,0.005890122621290797,1.005890122621526,1.0000000000002351,0.006568969097993489,1.5817667746232724,1.5751978055252789,GFL,gen-2
1.74,0.005398172782762444,1.0053981727829977,1.0000000000002351,0.006771714069826913,1.5819695195951058,1.5751978055252789,GFL,gen-2
1.75,0.004900936288742702,1.0049009362889778,1.0000000000002351,0.006951769238941612,1.5821495747642205,1.5751978055252789,GFL,gen-2
1.76,0.004399361127766469,1.0043993611280015,1.0000000000002351,0.007109143794827038,1.5823069493201058,1.5751978055252789,GFL,gen-2
1.77,0.003894405266245096,1.0038944052664802,1.0000000000002351,0.007243874618836656,1.5824416801441155,1.5751978055252789,GFL,gen-2
1.78,0.0033870365954486808,1.0033870365956838,1.0000000000002351,0.0073560269043004296,1.5825538324295791,1.5751978055252789,GFL,gen-2
1.79,0.002878232556131415,1.0028782325563665,1.0000000000002351,0.007445694891460913,1.5826435004167396,1.5751978055252789,GFL,gen-2
1.8,0.002368979441086556,1.0023689794413218,1.0000000000002351,0.007513002689441748,1.5827108082147205,1.5751978055252789,GFL,gen-2
1.81,0.0018602713786666461,1.0018602713789018,1.0000000000002351,0.007558105159148174,1.5827559106844271,1.5751978055252789,GFL,gen-2
1.82,0.001353109005833591,1.0013531090060688,1.0000000000002351,0.007581188828414319,1.5827789943536932,1.5751978055252789,GFL,gen-2
1.83,0.0008484978410343234,1.0008484978412695,1.0000000000002351,0.0075824728135832735,1.582780278338862,1.5751978055252789,GFL,gen-2
1.84,0.00034744637313877856,1.000347446373374,1.0000000000002351,0.007562209719928664,1.5827600152452075,1.5751978055252789,GFL,gen-2
1.85,-0.00014903611715672292,0.9998509638830785,1.0000000000002351,0.007520686496584177,1.582718492021863,1.5751978055252789,GFL,gen-2
1.86,-0.0006399419807378178,0.9993600580194973,1.0000000000002351,0.007458225220605262,1.5826560307458841,1.5751978055252789,GFL,gen-2
1.87,-0.001124267846907692,0.9988757321533274,1.0000000000002351,0.0073751837883873315,1.5825729893136662,1.5751978055252789,GFL,gen-2
1.88,-0.0016010174658165292,0.9983989825344186,1.0000000000002351,0.00727195649232086,1.5824697620175996,1.5751978055252789,GFL,gen-2
1.89,-0.0020692047215125063,0.9979307952787226,1.0000000000002351,0.007148974463964796,1.5823467799892437,1.5751978055252789,GFL,gen-2
1.9,-0.0025278567840667657,0.9974721432161684,1.0000000000002351,0.00700670596682694,1.582204511492106,1.5751978055252789,GFL,gen-2
1.91,-0.0029760173731924727,0.9970239826270427,1.0000000000002351,0.006845656521593402,1.5820434620468724,1.5751978055252789,GFL,gen-2
1.92,-0.003412750100990928,0.9965872498992442,1.0000000000002351,0.006666368855142219,1.581864174380421,1.5751978055252789,GFL,gen-2
1.93,-0.00383714186288434,0.9961628581373507,1.0000000000002351,0.006469422656409061,1.581667228181688,1.5751978055252789,GFL,gen-2
1.94,-0.0042483062463205,0.9957516937539147,1.0000000000002351,0.006255434138894076,1.581453239664173,1.5751978055252789,GFL,gen-2
1.95,-0.004645386924767283,0.9953546130754678,1.0000000000002351,0.006025055395316789,1.5812228609205956,1.5751978055252789,GFL,gen-2
1.96,-0.005027561008422134,0.994972438991813,1.0000000000002351,0.005778973550090479,1.5809767790753693,1.5751978055252789,GFL,gen-2
1.97,-0.00539404231985717,0.994605957680378,1.0000000000002351,0.005517909699286171,1.5807157152245652,1.5751978055252789,GFL,gen-2
1.98,-0.005744084568768356,0.9942559154314667,1.0000000000002351,0.005242617648778595,1.5804404231740574,1.5751978055252789,GFL,gen-2
1.99,-0.00607698439583948,0.9939230156043957,1.0000000000002351,0.004953882444466735,1.5801516879697455,1.5751978055252789,GFL,gen-2
